content,rating,sentiment,original_content,segment_content,_class
建議版 的 能像版 的 一樣 開啟 下方 就 有 播放條 可以 立即 播放 不 需要 再 到 個人 歌單 開啟 播放,3,0,建議版的能像版的一樣開啟下方就有播放條可以立即播放不需要再到個人歌單開啟播放,"[['建議版', '的', '能像版', '的', '一樣', '開啟', '下方', '就', '有', '播放條', '可以', '立即', '播放', '不', '需要', '再', '到', '個人', '歌單', '開啟', '播放']]",0
好多 好 聰 的 歌,5,0.3,好多好聰的歌,"[['好多', '好', '聰', '的', '歌']]",0
為甚麼 為要 下載 音樂 他 一直 要 我 插入 記憶卡 但是 我 已經 插進去 了 啊,4,0,為甚麼為要下載音樂他一直要我插入記憶卡但是我已經插進去了啊,"[['為甚麼', '為要', '下載', '音樂', '他', '一直', '要', '我', '插入', '記憶卡', '但是', '我', '已經', '插進去', '了', '啊']]",0
更新 後 流量 很 不 穩 聽 歌 忽 快 忽 慢 的 真 不 舒服 反而 直接 聽 還 比較 實在 再 這樣 要 退租 了,2,0.06666666667,更新後流量很不穩聽歌忽快忽慢的真不舒服反而直接聽還比較實在再這樣要退租了,"[['更新', '後', '流量', '很', '不', '穩', '聽', '歌', '忽', '快', '忽', '慢', '的', '真', '不', '舒服', '反而', '直接', '聽', '還', '比較', '實在', '再', '這樣', '要', '退租', '了']]",1
定時 一 個 小時 後 關閉 播放 但是 只 播放 了 兩 首 歌 就 不 播放 了 請問 該 怎麼辦,4,-0.3,定時一個小時後關閉播放但是隻播放了兩首歌就不播放了請問該怎麼辦,"[['定時', '一', '個', '小時', '後', '關閉', '播放', '但是', '隻', '播放', '了', '兩', '首', '歌', '就', '不', '播放', '了', '請問', '該', '怎麼辦']]",0
未 開放 服務,1,0,未開放服務,"[['未', '開放', '服務']]",4
前 結構 良 無 終知 歌 前 終雰囲 気 壊直評価 見思 貼終 無理 対 応,2,-0.1,前結構良無終知歌前終雰囲気壊直評価見思貼終無理対応,"[['前', '結構', '良', '無', '終知', '歌', '前', '終雰囲', '気', '壊直評価', '見思', '貼終', '無理', '対', '応']]",4
希望 不要 給錢,3,0,希望不要給錢,"[['希望', '不要', '給', '錢']]",0
在 可以 看到 歌詞 就 好 了 另外 在 系統 沒 顯示 可以 預設為 音樂 播放器,4,0.3,在可以看到歌詞就好了另外在系統沒顯示可以預設為音樂播放器,"[['在', '可以', '看到', '歌詞', '就', '好', '了', '另外', '在', '系統', '沒', '顯示', '可以', '預設為', '音樂', '播放器']]",0
很 好用,5,0.4,很好用,"[['很', '好用']]",0
是 菜市場 吃吃 吃 遲遲 遲遲 尤其 是是 從 此 次 刪除 午餐 時間 往往 菜市場 此 次 簇簇 事實 上 此 次 此 次 在 此 其實 是 簇簇 就是 此 次 存在 吱吱吱 因此 市場 上 簇簇 即使 是 結結實實 是 簇簇 玩家 既然 如此 顯然 是 事實 上 菜菜子 做 自己 其實 是時 亦 此 次 簇簇 五 事實 上 事實 上 市場 持,5,0,是菜市場吃吃吃遲遲遲遲尤其是是從此次刪除午餐時間往往菜市場此次簇簇事實上此次此次在此其實是簇簇就是此次存在吱吱吱因此市場上簇簇即使是結結實實是簇簇玩家既然如此顯然是事實上菜菜子做自己其實是時亦此次簇簇五事實上事實上市場持,"[['是', '菜市場', '吃吃', '吃', '遲遲', '遲遲', '尤其', '是是', '從', '此', '次', '刪除', '午餐', '時間', '往往', '菜市場', '此', '次', '簇簇', '事實', '上', '此', '次', '此', '次', '在', '此', '其實', '是', '簇簇', '就是', '此', '次', '存在', '吱吱吱', '因此', '市場', '上', '簇簇', '即使', '是', '結結實實', '是', '簇簇', '玩家', '既然', '如此', '顯然', '是', '事實', '上', '菜菜子', '做', '自己', '其實', '是時', '亦', '此', '次', '簇簇', '五', '事實', '上', '事實', '上', '市場', '持']]",0
有些 大陸 歌手 的 歌 根本 找 不 到 然後 也 有 填寫 了 找 不 到 我 要 的 音樂 但 一直 沒有 得到 回覆,4,-0.3,有些大陸歌手的歌根本找不到然後也有填寫了找不到我要的音樂但一直沒有得到回覆,"[['有些', '大陸', '歌手', '的', '歌', '根本', '找', '不', '到', '然後', '也', '有', '填寫', '了', '找', '不', '到', '我', '要', '的', '音樂', '但', '一直', '沒有', '得到', '回覆']]",0
建議版 的 能像版 的 一樣 開啟 下方 就 有 播放條 可以 立即 播放 不 需要 再 到 個人 歌單 開啟 播放 車用 平板 連線 速度 比 其他 音樂 串流 軟體 慢 很多 需 加強 優化,2,-0.15,建議版的能像版的一樣開啟下方就有播放條可以立即播放不需要再到個人歌單開啟播放車用平板連線速度比其他音樂串流軟體慢很多需加強優化,"[['建議版', '的', '能像版', '的', '一樣', '開啟', '下方', '就', '有', '播放條', '可以', '立即', '播放', '不', '需要', '再', '到', '個人', '歌單', '開啟', '播放', '車用', '平板', '連線', '速度', '比', '其他', '音樂', '串流', '軟體', '慢', '很多', '需', '加強', '優化']]",4
很 好聽,5,0.5,很好聽,"[['很', '好聽']]",0
我 的 手機 是 三星 使用 其他 的 軟體 時 完全 不會 卡頓 用 這 個 軟體 時 會 一直 卡 音樂 也 會 斷斷續續 的 希望 可以 盡快 改善,2,-0.45,我的手機是三星使用其他的軟體時完全不會卡頓用這個軟體時會一直卡音樂也會斷斷續續的希望可以盡快改善,"[['我', '的', '手機', '是', '三星', '使用', '其他', '的', '軟體', '時', '完全', '不會', '卡頓', '用', '這', '個', '軟體', '時', '會', '一直', '卡', '音樂', '也', '會', '斷斷續續', '的', '希望', '可以', '盡快', '改善']]",4
爛 非常 爛 更新完 一直 閃退 不 知道 在 退 三 小 超爛繳 會費 是 這 種 品質 真是 垃圾,1,-0.45,爛非常爛更新完一直閃退不知道在退三小超爛繳會費是這種品質真是垃圾,"[['爛', '非常', '爛', '更新完', '一直', '閃退', '不', '知道', '在', '退', '三', '小', '超爛繳', '會費', '是', '這', '種', '品質', '真是', '垃圾']]",1
方便 是 方便 但是 這 款 音樂器 有 個 不 好 的 點 就 是 有時候 聽 歌 會 突然 斷掉 顯示 正在 播放 其他 什麼 什麼 的 這 是 什麼 鬼 然後 按 確定 想 連續 播 歌 但 每 次 都 是 聽 一 首 就 停聽 一 首 就 停 很 麻煩 耶,3,-0.12,方便是方便但是這款音樂器有個不好的點就是有時候聽歌會突然斷掉顯示正在播放其他什麼什麼的這是什麼鬼然後按確定想連續播歌但每次都是聽一首就停聽一首就停很麻煩耶,"[['方便', '是', '方便', '但是', '這', '款', '音樂器', '有', '個', '不', '好', '的', '點', '就', '是', '有時候', '聽', '歌', '會', '突然', '斷掉', '顯示', '正在', '播放', '其他', '什麼', '什麼', '的', '這', '是', '什麼', '鬼', '然後', '按', '確定', '想', '連續', '播', '歌', '但', '每', '次', '都', '是', '聽', '一', '首', '就', '停聽', '一', '首', '就', '停', '很', '麻煩', '耶']]",0
如果 不用 付費 的話 我 覺得 我 會 給 顆星,4,-0.1,如果不用付費的話我覺得我會給顆星,"[['如果', '不用', '付費', '的話', '我', '覺得', '我', '會', '給', '顆星']]",0
大家 都 在 玩 如果 簡單 一點 這 個 遊戲 會 很 火美 中 不足 就 是 不能 像 的 遊戲 一樣 直接 無限 元寶 送打 得 不 要不要 屬於 慢 熱 人氣 需要 多一點 可以 有 更多 活動 就 好 了 整體 都 很 好 加油 大 神教學 真是 太 棒 了 我 感覺 有點 離 不開 了 經常 需要 陪玩 實用性 更 高 很 有 難度 玩 的 好 累 不過 確實 是 好 遊戲 這 種 事情 就 不 知道 為什麼 要 做 的 事情 就 是 這樣子 對 自己 的 態度 是 一 款 比較 適合 我們 這 種 事情 發生 在 你 面前 我 就 不會 那麼 簡單 地 生活 的 人 在 這 後來 可能 是 玩 的 人 多 了 大 神 也 慢慢 多起來 了 吧 風格 可愛 有趣 創作 也 能 很多 原 不過 唯一 的 缺點 就 是 升級 的 部分 和 建築 的 部分 價格 太 高 剛 玩 時 很 難 升本 其他 需要 改善 的 只有 升級 時間 能 稍微 調少 一點 就 好不然 升級 時間 太 長 很多 人 都 等 不 下去 也 謝謝 製作 團隊 的 用心 做出 怎麼 好 的 遊戲 這 一切 都 是 健康 和 自由 的 體驗 遊戲 由於 很多 玩家 抓 不 到 所以 很 難 抓住 高星 等 畢竟 這 不 是 你 的 專屬 遊戲 必須 有 一 個 折衷 方案 當然 對於 像 我 這樣 週末 沒有 時間 的 人 來 說 導致 放大鏡 不能 用 也 無法 獲得 點 以上 的 體力 或 其他 獎勵 朋友 玩 這 款 經營 經營 遊戲 自己 玩 過 之後 很 是 喜歡 商業 人生 的 類比 商戰 畫面 精緻 控制 便捷 而且 每 天 登陸 都 會 有 大量 的 金幣 相 送 的 哦 這 是 一 款 非常 好玩 商業 人生 的 類比 商戰 畫面 非常 精美 自己 試玩 了 一下 我 就 喜歡上 了 這 款 商業 人生 的 模擬 商戰 非常 棒 這 個 商業 人生 的 模擬 商戰 是 朋友 推薦給 我 玩 的 很 好 感覺 很 不錯 我 也 推薦給 你們 玩 我 相信 你 會 喜歡 的 你 必須 一舉 打敗 邪惡 勢力 一 款 暗黑風 動作 角色 扮演 遊戲 遊戲 設有 獨特 的 戰場 和 畫質 優異 的 操作 介面 更 有 成千上萬 的 實力 對手 等 你 挑戰 快 下載 遊戲 與 成千上萬 的 玩家 一起 拯救 被 毀滅 的 王國 吧 你 身為 最後 一 名 戰士 是 恢復 光明 成為 英雄 的 唯一 希望 你 將 與 神祕 的 守衛 主宰 進行 最後 決戰,5,0.1930232558,大家都在玩如果簡單一點這個遊戲會很火美中不足就是不能像的遊戲一樣直接無限元寶送打得不要不要屬於慢熱人氣需要多一點可以有更多活動就好了整體都很好加油大神教學真是太棒了我感覺有點離不開了經常需要陪玩實用性更高很有難度玩的好累不過確實是好遊戲這種事情就不知道為什麼要做的事情就是這樣子對自己的態度是一款比較適合我們這種事情發生在你面前我就不會那麼簡單地生活的人在這後來可能是玩的人多了大神也慢慢多起來了吧風格可愛有趣創作也能很多原不過唯一的缺點就是升級的部分和建築的部分價格太高剛玩時很難升本其他需要改善的只有升級時間能稍微調少一點就好不然升級時間太長很多人都等不下去也謝謝製作團隊的用心做出怎麼好的遊戲這一切都是健康和自由的體驗遊戲由於很多玩家抓不到所以很難抓住高星等畢竟這不是你的專屬遊戲必須有一個折衷方案當然對於像我這樣週末沒有時間的人來說導致放大鏡不能用也無法獲得點以上的體力或其他獎勵朋友玩這款經營經營遊戲自己玩過之後很是喜歡商業人生的類比商戰畫面精緻控制便捷而且每天登陸都會有大量的金幣相送的哦這是一款非常好玩商業人生的類比商戰畫面非常精美自己試玩了一下我就喜歡上了這款商業人生的模擬商戰非常棒這個商業人生的模擬商戰是朋友推薦給我玩的很好感覺很不錯我也推薦給你們玩我相信你會喜歡的你必須一舉打敗邪惡勢力一款暗黑風動作角色扮演遊戲遊戲設有獨特的戰場和畫質優異的操作介面更有成千上萬的實力對手等你挑戰快下載遊戲與成千上萬的玩家一起拯救被毀滅的王國吧你身為最後一名戰士是恢復光明成為英雄的唯一希望你將與神祕的守衛主宰進行最後決戰,"[['大家', '都', '在', '玩', '如果', '簡單', '一點', '這', '個', '遊戲', '會', '很', '火美', '中', '不足', '就', '是', '不能', '像', '的', '遊戲', '一樣', '直接', '無限', '元寶', '送打', '得', '不', '要不要', '屬於', '慢', '熱', '人氣', '需要', '多一點', '可以', '有', '更多', '活動', '就', '好', '了', '整體', '都', '很', '好', '加油', '大', '神教學', '真是', '太', '棒', '了', '我', '感覺', '有點', '離', '不開', '了', '經常', '需要', '陪玩', '實用性', '更', '高', '很', '有', '難度', '玩', '的', '好', '累', '不過', '確實', '是', '好', '遊戲', '這', '種', '事情', '就', '不', '知道', '為什麼', '要', '做', '的', '事情', '就', '是', '這樣子', '對', '自己', '的', '態度', '是', '一', '款', '比較', '適合', '我們', '這', '種', '事情', '發生', '在', '你', '面前', '我', '就', '不會', '那麼', '簡單', '地', '生活', '的', '人', '在', '這', '後來', '可能', '是', '玩', '的', '人', '多', '了', '大', '神', '也', '慢慢', '多起來', '了', '吧', '風格', '可愛', '有趣', '創作', '也', '能', '很多', '原', '不過', '唯一', '的', '缺點', '就', '是', '升級', '的', '部分', '和', '建築', '的', '部分', '價格', '太', '高', '剛', '玩', '時', '很', '難', '升本', '其他', '需要', '改善', '的', '只有', '升級', '時間', '能', '稍微', '調少', '一點', '就', '好不然', '升級', '時間', '太', '長', '很多', '人', '都', '等', '不', '下去', '也', '謝謝', '製作', '團隊', '的', '用心', '做出', '怎麼', '好', '的', '遊戲', '這', '一切', '都', '是', '健康', '和', '自由', '的', '體驗', '遊戲', '由於', '很多', '玩家', '抓', '不', '到', '所以', '很', '難', '抓住', '高星', '等', '畢竟', '這', '不', '是', '你', '的', '專屬', '遊戲', '必須', '有', '一', '個', '折衷', '方案', '當然', '對於', '像', '我', '這樣', '週末', '沒有', '時間', '的', '人', '來', '說', '導致', '放大鏡', '不能', '用', '也', '無法', '獲得', '點', '以上', '的', '體力', '或', '其他', '獎勵', '朋友', '玩', '這', '款', '經營', '經營', '遊戲', '自己', '玩', '過', '之後', '很', '是', '喜歡', '商業', '人生', '的', '類比', '商戰', '畫面', '精緻', '控制', '便捷', '而且', '每', '天', '登陸', '都', '會', '有', '大量', '的', '金幣', '相', '送', '的', '哦', '這', '是', '一', '款', '非常', '好玩', '商業', '人生', '的', '類比', '商戰', '畫面', '非常', '精美', '自己', '試玩', '了', '一下', '我', '就', '喜歡上', '了', '這', '款', '商業', '人生', '的', '模擬', '商戰', '非常', '棒', '這', '個', '商業', '人生', '的', '模擬', '商戰', '是', '朋友', '推薦給', '我', '玩', '的', '很', '好', '感覺', '很', '不錯', '我', '也', '推薦給', '你們', '玩', '我', '相信', '你', '會', '喜歡', '的', '你', '必須', '一舉', '打敗', '邪惡', '勢力', '一', '款', '暗黑風', '動作', '角色', '扮演', '遊戲', '遊戲', '設有', '獨特', '的', '戰場', '和', '畫質', '優異', '的', '操作', '介面', '更', '有', '成千上萬', '的', '實力', '對手', '等', '你', '挑戰', '快', '下載', '遊戲', '與', '成千上萬', '的', '玩家', '一起', '拯救', '被', '毀滅', '的', '王國', '吧', '你', '身為', '最後', '一', '名', '戰士', '是', '恢復', '光明', '成為', '英雄', '的', '唯一', '希望', '你', '將', '與', '神祕', '的', '守衛', '主宰', '進行', '最後', '決戰']]",0
一 開始 我 對 這 種 遊戲 一點 興趣 都 沒有 但 看 朋友 們 都 在 玩 就 下載 使用 看看 沒想到 網址 比 我 想像 中 的 好 很多 很 推薦 大家 玩 喔 裡面 都 是 私服 版本 的 規格 不要 限制 角色 和 佈陣 方式 遊戲 內容 會 豐富 許多 一舉多得是 吧 以上 個人 建議 我 知道 遊戲 製作 不 簡單 但 我 真心 希望 這 遊戲 環境 變好 就算 只 能 在 這 評論 身邊 的 朋友 們 都 在 玩 這 推薦給 我 人物 角色 還是 畫面 都 是 比較 喜歡 的 款 一直 玩 了 不 充值 只是 體檢 一下 畢竟 是 年少 時 玩 了 好幾 年 的 遊戲 三 個 小時 了 還 沒 完事 這麼 慢 童年 的 回憶 啊 中學 時 逃課 去 網 吧 就是 和 同學 打 副本 啊 哭 都 是 情懷 啊 時間 殺手 玩 到 忘記 上班 這 個 遊戲 是 我 玩 的 最 久 的 一 個 遊戲 了 雖然 中間 棄坑 了 一 段 時間 但 還是 回來 了 但 製作 者 和 運營商 的 誠意 是 玩家 的 改革 之 路 可 見 玩家 的 參與 意識 有所 增強 從 以前 全自動值 的 勝利 到 我 的 遊戲 的 勝利,5,0.3,一開始我對這種遊戲一點興趣都沒有但看朋友們都在玩就下載使用看看沒想到網址比我想像中的好很多很推薦大家玩喔裡面都是私服版本的規格不要限制角色和佈陣方式遊戲內容會豐富許多一舉多得是吧以上個人建議我知道遊戲製作不簡單但我真心希望這遊戲環境變好就算只能在這評論身邊的朋友們都在玩這推薦給我人物角色還是畫面都是比較喜歡的款一直玩了不充值只是體檢一下畢竟是年少時玩了好幾年的遊戲三個小時了還沒完事這麼慢童年的回憶啊中學時逃課去網吧就是和同學打副本啊哭都是情懷啊時間殺手玩到忘記上班這個遊戲是我玩的最久的一個遊戲了雖然中間棄坑了一段時間但還是回來了但製作者和運營商的誠意是玩家的改革之路可見玩家的參與意識有所增強從以前全自動值的勝利到我的遊戲的勝利,"[['一', '開始', '我', '對', '這', '種', '遊戲', '一點', '興趣', '都', '沒有', '但', '看', '朋友', '們', '都', '在', '玩', '就', '下載', '使用', '看看', '沒想到', '網址', '比', '我', '想像', '中', '的', '好', '很多', '很', '推薦', '大家', '玩', '喔', '裡面', '都', '是', '私服', '版本', '的', '規格', '不要', '限制', '角色', '和', '佈陣', '方式', '遊戲', '內容', '會', '豐富', '許多', '一舉多得是', '吧', '以上', '個人', '建議', '我', '知道', '遊戲', '製作', '不', '簡單', '但', '我', '真心', '希望', '這', '遊戲', '環境', '變好', '就算', '只', '能', '在', '這', '評論', '身邊', '的', '朋友', '們', '都', '在', '玩', '這', '推薦給', '我', '人物', '角色', '還是', '畫面', '都', '是', '比較', '喜歡', '的', '款', '一直', '玩', '了', '不', '充值', '只是', '體檢', '一下', '畢竟', '是', '年少', '時', '玩', '了', '好幾', '年', '的', '遊戲', '三', '個', '小時', '了', '還', '沒', '完事', '這麼', '慢', '童年', '的', '回憶', '啊', '中學', '時', '逃課', '去', '網', '吧', '就是', '和', '同學', '打', '副本', '啊', '哭', '都', '是', '情懷', '啊', '時間', '殺手', '玩', '到', '忘記', '上班', '這', '個', '遊戲', '是', '我', '玩', '的', '最', '久', '的', '一', '個', '遊戲', '了', '雖然', '中間', '棄坑', '了', '一', '段', '時間', '但', '還是', '回來', '了', '但', '製作', '者', '和', '運營商', '的', '誠意', '是', '玩家', '的', '改革', '之', '路', '可', '見', '玩家', '的', '參與', '意識', '有所', '增強', '從', '以前', '全自動值', '的', '勝利', '到', '我', '的', '遊戲', '的', '勝利']]",0
大家 都 在 玩 如果 簡單 一點 這 個 遊戲 會 很 火美 中 不足 就 是 不能 像 的 遊戲 一樣 直接 無限 元寶 送 打 得 不 要不要 玩 過 陸服 過來 的 變化 型態 都 是 有 動畫 的 我 很少 很 評分 不過 這 遊戲 真的 不錯 玩法 也 不 太 偏 某 石 靠 神 抽 只有 隻式 神主 要 打 團隊 合作 推 一 個 難得 玩 到 這麼 有趣 的 卡牌 遊戲 上 來 點 贊 一下 組合 多 有 瞬間牌 多 了 互動 不 像 爐石 死板 的 你 打 我 一下 換 我 打回來 英雄 升級 機制 跟 被動 都 很 有意思 這樣 玩起來 才 刺激 啊,5,0,大家都在玩如果簡單一點這個遊戲會很火美中不足就是不能像的遊戲一樣直接無限元寶送打得不要不要玩過陸服過來的變化型態都是有動畫的我很少很評分不過這遊戲真的不錯玩法也不太偏某石靠神抽只有隻式神主要打團隊合作推一個難得玩到這麼有趣的卡牌遊戲上來點贊一下組合多有瞬間牌多了互動不像爐石死板的你打我一下換我打回來英雄升級機制跟被動都很有意思這樣玩起來才刺激啊,"[['大家', '都', '在', '玩', '如果', '簡單', '一點', '這', '個', '遊戲', '會', '很', '火美', '中', '不足', '就', '是', '不能', '像', '的', '遊戲', '一樣', '直接', '無限', '元寶', '送', '打', '得', '不', '要不要', '玩', '過', '陸服', '過來', '的', '變化', '型態', '都', '是', '有', '動畫', '的', '我', '很少', '很', '評分', '不過', '這', '遊戲', '真的', '不錯', '玩法', '也', '不', '太', '偏', '某', '石', '靠', '神', '抽', '只有', '隻式', '神主', '要', '打', '團隊', '合作', '推', '一', '個', '難得', '玩', '到', '這麼', '有趣', '的', '卡牌', '遊戲', '上', '來', '點', '贊', '一下', '組合', '多', '有', '瞬間牌', '多', '了', '互動', '不', '像', '爐石', '死板', '的', '你', '打', '我', '一下', '換', '我', '打回來', '英雄', '升級', '機制', '跟', '被動', '都', '很', '有意思', '這樣', '玩起來', '才', '刺激', '啊']]",0
到 很多 人 說 很 難 抽 建議 先 到 裡 找 元寶 滿 版 代理商 讓 你 抽到 滿意 的 角色 才 開局 各 種 資源 讓 你 用不完 還 有 幾千 個 爆款 無限 元寶版 遊戲 等 著 你 玩 呢 但 我 同學 一直 抽到 雖然 我 也 很 不 爽 不過 我 還是 在 連 抽 之後 抽到 了 所以 我 覺得 還好 啦 我 玩 其他 遊戲 的 時候 最 高 階級 角色 幾乎 只 能 靠 必 中 來 拿到 耶 而且 資源 也 沒有 說給 的 很少 基本 上 是 夠 用 的 沒有 課金 也 可以 有 不錯 的 遊戲 體驗 所以 這 個 遊戲 挺棒 的 請 繼續 加油 非常 好玩 但是 我 唯一 不 滿意 的 是 為 啥 有些 屁孩 什麼 都 沒 有 發生 就 在 亂 舉報 我 是 房主 他 打 我我 還手 就 好 正常 啊 我 不 踢 他 已 經 很 好 了 他 還 舉報 我 禁 我 言 創角 就 可以 直接 各 種 資源 全 都 無限 輕鬆 吊打 土豪超爽 遊戲 機制 類似 怪物 彈珠 而 怪獸 有 分 幾 種 特性 碰到 反彈 繼續 前進 碰到 停止 穿透 擊飛 推走 在 配上 不同 技能 與 彈射 角度 與 主角 技能 逆風 翻盤 三 殺 四 殺 都 是 可能 的 萌新 推薦 怪獸 搭配 海龍 蝙蝠 必備 配上 血量 高坦 角色 石怪 海王鯨 與 火靈 綿羊 或 忍者 前期 海龍 萬用 發現 自己 還是 喜歡 玩 劍 與 遠徵 就 又 回來 繼續 奮鬥 了 是 說 個人 覺得 可以 有時 做 一些 簡單 達成 的 福利 活動 讓 無 課 玩家 也 能 有點 參與感 的 感覺 才 不會 流失 太多 這 類型 玩家 畢竟 有 無 課 玩家 的 存在 才 能 突顯出 有 課 玩家 的 厲害 不 是 嗎 最後 也 感謝 正在 這 篇 文章 的 你 辛苦 了 加油 其實 我 認為 這 是 一 個 很 好 的 遊戲 也 覺得 沒有 什麼 需要 改 的 地方 但 我 希望 珍寶 的 服裝 可以 上 商城 買 除了 聯動 的 服裝 之外 因為 我 相信 其他 人 應該 也 會 很 我 愛 覺得 很 喜歡 遊戲 但 有 三 個 問題 希望 貴 公司 能 看看,5,0.2608695652,到很多人說很難抽建議先到裡找元寶滿版代理商讓你抽到滿意的角色才開局各種資源讓你用不完還有幾千個爆款無限元寶版遊戲等著你玩呢但我同學一直抽到雖然我也很不爽不過我還是在連抽之後抽到了所以我覺得還好啦我玩其他遊戲的時候最高階級角色幾乎只能靠必中來拿到耶而且資源也沒有說給的很少基本上是夠用的沒有課金也可以有不錯的遊戲體驗所以這個遊戲挺棒的請繼續加油非常好玩但是我唯一不滿意的是為啥有些屁孩什麼都沒有發生就在亂舉報我是房主他打我我還手就好正常啊我不踢他已經很好了他還舉報我禁我言創角就可以直接各種資源全都無限輕鬆吊打土豪超爽遊戲機制類似怪物彈珠而怪獸有分幾種特性碰到反彈繼續前進碰到停止穿透擊飛推走在配上不同技能與彈射角度與主角技能逆風翻盤三殺四殺都是可能的萌新推薦怪獸搭配海龍蝙蝠必備配上血量高坦角色石怪海王鯨與火靈綿羊或忍者前期海龍萬用發現自己還是喜歡玩劍與遠徵就又回來繼續奮鬥了是說個人覺得可以有時做一些簡單達成的福利活動讓無課玩家也能有點參與感的感覺纔不會流失太多這類型玩家畢竟有無課玩家的存在才能突顯出有課玩家的厲害不是嗎最後也感謝正在這篇文章的你辛苦了加油其實我認為這是一個很好的遊戲也覺得沒有什麼需要改的地方但我希望珍寶的服裝可以上商城買除了聯動的服裝之外因為我相信其他人應該也會很我愛覺得很喜歡遊戲但有三個問題希望貴公司能看看,"[['到', '很多', '人', '說', '很', '難', '抽', '建議', '先', '到', '裡', '找', '元寶', '滿', '版', '代理商', '讓', '你', '抽到', '滿意', '的', '角色', '才', '開局', '各', '種', '資源', '讓', '你', '用不完', '還', '有', '幾千', '個', '爆款', '無限', '元寶版', '遊戲', '等', '著', '你', '玩', '呢', '但', '我', '同學', '一直', '抽到', '雖然', '我', '也', '很', '不', '爽', '不過', '我', '還是', '在', '連', '抽', '之後', '抽到', '了', '所以', '我', '覺得', '還好', '啦', '我', '玩', '其他', '遊戲', '的', '時候', '最', '高', '階級', '角色', '幾乎', '只', '能', '靠', '必', '中', '來', '拿到', '耶', '而且', '資源', '也', '沒有', '說給', '的', '很少', '基本', '上', '是', '夠', '用', '的', '沒有', '課金', '也', '可以', '有', '不錯', '的', '遊戲', '體驗', '所以', '這', '個', '遊戲', '挺棒', '的', '請', '繼續', '加油', '非常', '好玩', '但是', '我', '唯一', '不', '滿意', '的', '是', '為', '啥', '有些', '屁', '孩', '什麼', '都', '沒有', '發生', '就', '在', '亂', '舉報', '我', '是', '房主', '他', '打', '我我', '還手', '就', '好', '正常', '啊', '我', '不', '踢', '他', '已經', '很', '好', '了', '他', '還', '舉報', '我', '禁', '我', '言', '創角', '就', '可以', '直接', '各', '種', '資源', '全', '都', '無限', '輕鬆', '吊打', '土豪超爽', '遊戲', '機制', '類似', '怪物', '彈珠', '而', '怪獸', '有', '分', '幾', '種', '特性', '碰到', '反彈', '繼續', '前進', '碰到', '停止', '穿透', '擊飛', '推走', '在', '配上', '不同', '技能', '與', '彈射', '角度', '與', '主角', '技能', '逆風', '翻盤', '三', '殺', '四', '殺', '都', '是', '可能', '的', '萌新', '推薦', '怪獸', '搭配', '海龍', '蝙蝠', '必備', '配上', '血量', '高坦', '角色', '石怪', '海王鯨', '與', '火靈', '綿羊', '或', '忍者', '前期', '海龍', '萬用', '發現', '自己', '還是', '喜歡', '玩', '劍', '與', '遠徵', '就', '又', '回來', '繼續', '奮鬥', '了', '是', '說', '個人', '覺得', '可以', '有時', '做', '一些', '簡單', '達成', '的', '福利', '活動', '讓', '無', '課', '玩家', '也', '能', '有點', '參與感', '的', '感覺纔', '不會', '流失', '太多', '這', '類型', '玩家', '畢竟', '有', '無', '課', '玩家', '的', '存在', '才', '能', '突顯出', '有', '課', '玩家', '的', '厲害', '不', '是', '嗎', '最後', '也', '感謝', '正在', '這', '篇', '文章', '的', '你', '辛苦', '了', '加油', '其實', '我', '認為', '這', '是', '一', '個', '很', '好', '的', '遊戲', '也', '覺得', '沒有', '什麼', '需要', '改', '的', '地方', '但', '我', '希望', '珍寶', '的', '服裝', '可以', '上', '商城', '買', '除了', '聯動', '的', '服裝', '之外', '因為', '我', '相信', '其他', '人', '應該', '也', '會', '很', '我', '愛', '覺得', '很', '喜歡', '遊戲', '但', '有', '三', '個', '問題', '希望', '貴', '公司', '能', '看看']]",0
